#Channel       Frequency       Mean        Std     Median      MADFM      1%ile        Min        Max
#                    MHz   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam   mJy/beam
     215        1.000000     -0.001      0.000      0.000      0.000      0.000    -20.542     23.544
     268        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      45        1.000000     -0.003      0.000      0.000      0.000      0.000    -21.006     24.546
      97        1.000000     -0.005      0.000      0.000      0.000      0.000    -20.570     19.814
     151        1.000000     -0.013      0.000      0.000      0.000      0.000    -32.805     18.463
     216        1.000000     -0.008      0.000      0.000      0.000      0.000    -22.920     20.842
     269        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      46        1.000000     -0.017      0.000      0.000      0.000      0.000    -22.336     19.100
      98        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.331     22.910
     152        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.657     19.556
     270        1.000000        nan      0.000      0.000      0.000      0.000      0.000      0.000
      47        1.000000     -0.001      0.000      0.000      0.000      0.000    -18.015     18.728
      99        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.476     19.780
     153        1.000000     -0.010      0.000      0.000      0.000      0.000    -30.214     24.548
      48        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.801     21.256
     100        1.000000     -0.008      0.000      0.000      0.000      0.000    -19.434     25.931
     154        1.000000     -0.003      0.000      0.000      0.000      0.000    -23.429     19.922
      49        1.000000     -0.002      0.000      0.000      0.000      0.000    -21.717     22.654
     101        1.000000     -0.007      0.000      0.000      0.000      0.000    -18.769     18.515
     155        1.000000     -0.009      0.000      0.000      0.000      0.000    -23.017     19.107
      50        1.000000     -0.005      0.000      0.000      0.000      0.000    -22.263     23.285
     102        1.000000     -0.005      0.000      0.000      0.000      0.000    -21.534     20.709
     156        1.000000     -0.006      0.000      0.000      0.000      0.000    -20.240     21.788
      51        1.000000     -0.012      0.000      0.000      0.000      0.000    -22.287     22.046
     103        1.000000     -0.004      0.000      0.000      0.000      0.000    -20.159     22.035
     157        1.000000     -0.002      0.000      0.000      0.000      0.000    -31.092     21.148
      52        1.000000     -0.002      0.000      0.000      0.000      0.000    -24.663     20.416
     104        1.000000      0.000      0.000      0.000      0.000      0.000    -21.237     24.619
     158        1.000000     -0.006      0.000      0.000      0.000      0.000    -21.986     19.108
      53        1.000000     -0.002      0.000      0.000      0.000      0.000    -20.324     19.027
     105        1.000000     -0.002      0.000      0.000      0.000      0.000    -19.003     20.664
     159        1.000000      0.014      0.000      0.000      0.000      0.000    -22.270     28.085
      54        1.000000     -0.003      0.000      0.000      0.000      0.000    -20.905     20.644
     106        1.000000     -0.007      0.000      0.000      0.000      0.000    -19.875     21.487
     160        1.000000     -0.022      0.000      0.000      0.000      0.000    -22.552     19.366
     107        1.000000      0.003      0.000      0.000      0.000      0.000    -20.486     22.773
     161        1.000000      0.004      0.000      0.000      0.000      0.000    -20.316     25.567
     108        1.000000      0.002      0.000      0.000      0.000      0.000    -27.001     21.513
     162        1.000000     -0.003      0.000      0.000      0.000      0.000    -28.520     23.189
